Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,28XSE-ZKJI5,Knowledge Test 3,,Spoken Word,,,,
Competitor,28XSE-JMEIQ,Quran Memorization - Level 1 - Male,,,,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,28XSE-C32AD,Quran Memorization - Level 1 - Male,Photography,,,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,28XSE-5I7NV,Quran Memorization - Level 1 - Female,**Culinary Arts [2 max]**,,,,,
Competitor,28XSE-80LZ7,Knowledge Test 1,,,,,,
Competitor,28XSE-ATO8F,,,,,,,
Competitor,28XSE-WYB4H,,,,,,,
Competitor,28XSE-R1DTP,,,,,,,
Competitor,CNGUK-C1O5R,Quran Recitation - Female,**Culinary Arts [2 max]**,Spoken Word,,Short Film,,
Competitor,WMSA3-X2AKN,,Photography,,,Social Media,Basketball - Male,
Competitor,ETX8W-NPT9I,,,,Math Olympics,,Basketball - Male,
Competitor,SIG90-BTGXM,Knowledge Test 1,,,,,**Soccer [DC]** - Male,
Competitor,EXIMZ-Y6VBY,,,,,Science Fair,**Soccer [DC]** - Male,
Competitor,JW7VO-EGTPH,Quran Memorization - Level 1 - Female,**Culinary Arts [2 max]**,Poetry,MIST Quiz Bowl,,,
Competitor,JW7VO-3UMUZ,,,Prepared Essay,Debate,Short Film,,
Competitor,HIEQ8-7V8J0,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,JW7VO-BRC4N,Quran Memorization - Level 3 - Female,,Extemporaneous Essay,MIST Quiz Bowl,,,
Competitor,JW7VO-WE7JW,Knowledge Test 2,Photography,Prepared Essay,Improv - Male,Short Film,,
Competitor,JW7VO-509B8,Quran Memorization - Level 1 - Male,Photography,,,Social Media,,**Super Smash Bros - Singles (DC)**
Competitor,JW7VO-XQCC9,,,Short Fiction,,,,
Competitor,JW7VO-5I5DD,Quran Recitation - Male,2D Art,Extemporaneous Essay,Improv - Male,Nasheed/Rap - Male,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,HIEQ8-1K52V,,,,,Business Venture,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,R9926-0LIGS,Quran Recitation - Female,,,MIST Quiz Bowl,Short Film,Basketball - Female,
Competitor,JW7VO-CQFHK,Quran Memorization - Level 3 - Male,,,Improv - Male,Nasheed/Rap - Male,Basketball - Male,**NBA 2K (DC) **
Competitor,R9926-K8T41,,Digital Art,,,,**Soccer [DC]** - Male (waitlisted),
Competitor,R9926-OYT6H,,2D Art,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,JW7VO-2P34A,,,,Improv - Male,,Basketball - Male,**NBA 2K (DC) **
Competitor,JW7VO-TXAY5,,,,,Humanitarian Service,Basketball - Male,
Competitor,UVHWU-AS3Q1,,,,MIST Quiz Bowl,,**Soccer [DC]** - Male,
Competitor,JW7VO-YWL15,,,,,Humanitarian Service,Basketball - Male,
Competitor,JW7VO-1FWXL,,,,Math Olympics,Science Fair,,**Chess[DC]**
Competitor,JW7VO-MV1WE,,Fashion Design,,Improv - Female,Humanitarian Service,,
Competitor,JW7VO-52DTF,Quran Memorization - Level 2 - Male,**Culinary Arts [2 max]**,,,Nasheed/Rap - Male,Basketball - Male,
Competitor,FECZ6-UWQAF,,,Spoken Word,,,Basketball - Male,
Competitor,EXIMZ-J8IW5,,,Poetry,,,Basketball - Female,
Competitor,HIEQ8-GBAWS,,**Culinary Arts [2 max]**,,,Humanitarian Service,,
Competitor,HIEQ8-0RKYJ,,,Poetry,,,,
Competitor,HIEQ8-43K2D,,,Prepared Essay,,,**Soccer [DC]** - Male,
Competitor,JW7VO-USHX9,,,,MIST Quiz Bowl,Social Media,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,616EC-SSVKR,,,,Improv - Female,,Basketball - Female,
Competitor,HIEQ8-WYWJ2,,,,MIST Quiz Bowl,Business Venture,,**Chess[DC]**
Competitor,HIEQ8-9AK8Q,,,,,,,
Competitor,HIEQ8-Q5C1W,,,,,Short Film,Basketball - Male,
Competitor,1NO4P-8HBC1,Quran Recitation - Male,,,Improv - Male,Science Fair,**Soccer [DC]** - Male,
Competitor,EXIMZ-2V75G,,Photography,,,,**Soccer [DC]** - Male,
Competitor,HIEQ8-9T1S8,,Photography,,,,,
Competitor,HIEQ8-I5CL8,,**Scrapbook - DC**,,,Social Media,,
Competitor,VJ2GK-Q4B4I,Knowledge Test 3,,,,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,HIEQ8-2B33N,Quran Memorization - Level 3 - Male,,,,,,
Competitor,HIEQ8-W9GE8,,,,,Humanitarian Service,,
Competitor,1NO4P-03B1Q,,,Prepared Essay,Improv - Male,Science Fair,**Soccer [DC]** - Male,
Competitor,Z8W5E-6YLDM,,Fashion Design,Poetry,,,Basketball - Female,
Competitor,HIEQ8-OSW1N,Quran Memorization - Level 1 - Female,,,Improv - Female,Social Media,Basketball - Female,
Competitor,HIEQ8-YTQ8K,,,,,Social Media,,
Competitor,HIEQ8-MM9KH,,**Culinary Arts [2 max]**,,Improv - Female,Social Media,,**Super Smash Bros - Singles (DC)**
Competitor,HIEQ8-4BNDE,,Photography,,,Social Media,,**Super Smash Bros - Singles (DC)**
Competitor,51M64-PWHYP,,**Scrapbook - DC**,,,Business Venture,Basketball - Female,
Competitor,HIEQ8-IP98M,,,,Math Olympics,Nasheed/Rap - Male,,**NBA 2K (DC) **
Competitor,51M64-BBZFP,,,,,Business Venture,Basketball - Female,
Competitor,Y0J9Q-2C19D,Quran Memorization - Level 2 - Female,Photography,,Debate,,Basketball - Female,
Competitor,HIEQ8-4FUO6,,**Scrapbook - DC**,,,,,**Super Smash Bros - Singles (DC)**
